Node,Parent
194002_De-greasing_agents,194_BINDING_and_MENDING_MATERIAL_CLEANING_ARTICLES
195_EQUIPMENT_FOR_OWNERS_REPRESENTATIVES,19_CONSUMPTION_ARTICLES
195001_Owners_representatives_expenses,195_EQUIPMENT_FOR_OWNERS_REPRESENTATIVES
195005_Owners_deliveries,195_EQUIPMENT_FOR_OWNERS_REPRESENTATIVES
196_MISCELLANEOUS_CONSUMPTION_ARTICLES,19_CONSUMPTION_ARTICLES
2_HULL,root
20_HULL_MATERIALS_GENERAL_HULL_WORK,2_HULL
201_HULL_MATERIALS,20_HULL_MATERIALS_GENERAL_HULL_WORK
201001_Steel_ship_plates,201_HULL_MATERIALS
201005_High_tension_steel_ship_plates,201_HULL_MATERIALS
201010_Alloy_steel_plates,201_HULL_MATERIALS
201015_Laminated_steel_plates,201_HULL_MATERIALS
201025_Steel_profiles,201_HULL_MATERIALS
201030_High_tension_steel_profiles,201_HULL_MATERIALS
201035_Alloy_steel_profiles,201_HULL_MATERIALS
201040_Steel_tube_supports,201_HULL_MATERIALS
201050_Aluminium_plates,201_HULL_MATERIALS
201060_Composite_materials,201_HULL_MATERIALS
202_TRANSPORTATION_SORTING_and_STORAGE_OF_HULL_MATERIALS,20_HULL_MATERIALS_GENERAL_HULL_WORK
202001_Crane_hire,202_TRANSPORTATION_SORTING_and_STORAGE_OF_HULL_MATERIALS
202005_Forklift_hire,202_TRANSPORTATION_SORTING_and_STORAGE_OF_HULL_MATERIALS
202010_Truck_hire,202_TRANSPORTATION_SORTING_and_STORAGE_OF_HULL_MATERIALS
203_BLASTING_SHOP-PRIMING_ROLLING_and_CLEANING_OF_MATERIALS,20_HULL_MATERIALS_GENERAL_HULL_WORK
203001_Sandblasting_equipment_hire,203_BLASTING_SHOP-PRIMING_ROLLING_and_CLEANING_OF_MATERIALS
204_TESTING_OF_TANKS_BULKHEADS,20_HULL_MATERIALS_GENERAL_HULL_WORK
204001_Testing_equipment_hire,204_TESTING_OF_TANKS_BULKHEADS
205_X-RAY_and_ULTRASONIC_TESTING_OF_HULL_PARTS,20_HULL_MATERIALS_GENERAL_HULL_WORK
205001_Testing_equipment_hire,205_X-RAY_and_ULTRASONIC_TESTING_OF_HULL_PARTS
205005_X-ray_film_development,205_X-RAY_and_ULTRASONIC_TESTING_OF_HULL_PARTS
206_TEMPLATE_and_MOULD_LOFT_WORK,20_HULL_MATERIALS_GENERAL_HULL_WORK
207_JOINING_OF_HULL_PARTS_AFLOAT,20_HULL_MATERIALS_GENERAL_HULL_WORK
21_AFTERBODY,2_HULL
